City Feature,Common Name,Address,Website,Longitude,Latitude,Location
Fire Stations,Fire Station #25,1300 E PINE ST,,-122.315096,47.615568,"(47.615568, -122.315096)"
Computer/Media Center,611 12th AV S STE 300,Seattle Indian Center,,-122.31838,47.59721,"(47.59721, -122.31838)"
Traffic Cameras,,I-5 at Pine Street,http://www.seattle.gov/trafficcams/i5_pine.htm,-122.329823,47.614455,"(47.614455, -122.329823)"
Traffic Cameras,,Northgate Way and 5th Ave NE,http://www.seattle.gov/trafficcams/northgate_5thb.htm,-122.323277,47.708594,"(47.708594, -122.323277)"
Traffic Cameras,,Northgate Way and 5th Ave NE,http://www.seattle.gov/trafficcams/northgate_5thb.htm,-122.323074,47.708597,"(47.708597, -122.323074)"
Traffic Cameras,,Aurora Ave and Mercer St,http://www.seattle.gov/trafficcams/aurora_mercer.htm,-122.343659,47.6245,"(47.6245, -122.343659)"
Traffic Cameras,,Fairview and Mercer St,http://www.seattle.gov/trafficcams/fairview_mercer.htm,-122.334291,47.624539,"(47.624539, -122.334291)"
Traffic Cameras,,4th Ave South at I-90 Ramps,http://www.seattle.gov/trafficcams/4thave_i90.htm,-122.329052,47.594286,"(47.594286, -122.329052)"
Traffic Cameras,,4th and Atlantic,http://www.seattle.gov/trafficcams/4th_atlantic.htm,-122.328841,47.590302,"(47.590302, -122.328841)"
Traffic Cameras,,6th Ave S at S Spokane St,http://www.seattle.gov/trafficcams/6th_Spokane.htm,-122.325985,47.571713,"(47.571713, -122.325985)"
Traffic Cameras,,3rd Ave S at S Lander St,http://www.seattle.gov/trafficcams/3rd_Lander.htm,-122.32999,47.579807,"(47.579807, -122.32999)"
Traffic Cameras,,W Marginal Way at S Chelan St,http://www.seattle.gov/trafficcams/Marginal_Chelan.htm,-122.360011,47.572095,"(47.572095, -122.360011)"
Traffic Cameras,,West Seattle Bridge at Delridge Exit,http://www.seattle.gov/trafficcams/WSB_Delridge.htm,-122.35676,47.567063,"(47.567063, -122.35676)"
Traffic Cameras,,35th Avenue SW and Fauntleroy Way SW,http://www.seattle.gov/trafficcams/35th_fauntleroy.htm,-122.376192,47.565038,"(47.565038, -122.376192)"
Traffic Cameras,,Fauntleroy Way SW and SW Alaska,http://www.seattle.gov/trafficcams/fauntleroy_alaska.htm,-122.376216,47.561064,"(47.561064, -122.376216)"
Traffic Cameras,,1st Ave S at E Marginal Way S,http://www.seattle.gov/trafficcams/1st_Marginal.htm,-122.334313,47.548269,"(47.548269, -122.334313)"
Traffic Cameras,,4th Ave S at S Michigan S,http://www.seattle.gov/trafficcams/4th_Michigan.htm,-122.329591,47.545334,"(47.545334, -122.329591)"
Traffic Cameras,,145th at Lake City Way,http://www.seattle.gov/trafficcams/145th_lakecity.htm,-122.292232,47.733755,"(47.733755, -122.292232)"
Traffic Cameras,,Lakecity Way at 125th,http://www.seattle.gov/trafficcams/lakecity_125th.htm,-122.295234,47.719278,"(47.719278, -122.295234)"
Traffic Cameras,,15th Ave Ne at 80th,http://www.seattle.gov/trafficcams/15th_80th.htm,-122.313358,47.686688,"(47.686688, -122.313358)"
Traffic Cameras,,Lake City Way at 15th,http://www.seattle.gov/trafficcams/lakecity_15th.htm,-122.312175,47.687515,"(47.687515, -122.312175)"
Traffic Cameras,,I-5 at Northgate Way,http://www.seattle.gov/trafficcams/i5_northgate.htm,-122.330136,47.708652,"(47.708652, -122.330136)"
Traffic Cameras,,I-5 at NE 85th Street,http://www.seattle.gov/trafficcams/i5_85th.htm,-122.329912,47.690709,"(47.690709, -122.329912)"
Traffic Cameras,,I-5 at NE 45th Street,http://www.seattle.gov/trafficcams/i5_45th.htm,-122.322414,47.661199,"(47.661199, -122.322414)"
Traffic Cameras,,North on Montlake Blvd at SR520,http://www.seattle.gov/trafficcams/montlake_north.htm,-122.304372,47.644414,"(47.644414, -122.304372)"
Traffic Cameras,,SR 520 Midspan,http://www.seattle.gov/trafficcams/sr520_midspan.htm,-122.284455,47.644568,"(47.644568, -122.284455)"
Traffic Cameras,,I-5 at Roanoke Street,http://www.seattle.gov/trafficcams/i5_spokane.htm,-122.323198,47.643234,"(47.643234, -122.323198)"
Traffic Cameras,,I-5 at Mercer Street,http://www.seattle.gov/trafficcams/i5_mercer.htm,-122.328323,47.624222,"(47.624222, -122.328323)"
Traffic Cameras,,Alaskan Way at Royal Brougham,http://www.seattle.gov/trafficcams/alaskan_royal.htm,-122.336546,47.592394,"(47.592394, -122.336546)"
Traffic Cameras,,Alaskan Way at Terminal 42,http://www.seattle.gov/trafficcams/alaskan_terminal42.htm,-122.335154,47.594305,"(47.594305, -122.335154)"
Traffic Cameras,,Harbor Island,http://www.seattle.gov/trafficcams/harbor_island.htm,-122.349782,47.571733,"(47.571733, -122.349782)"
Traffic Cameras,,I-5 at Yesler Way,http://www.seattle.gov/trafficcams/i5_yesler.htm,-122.324898,47.601668,"(47.601668, -122.324898)"
Traffic Cameras,,I-5/I-90 Interchange,http://www.seattle.gov/trafficcams/i5_i90.htm,-122.322192,47.593365,"(47.593365, -122.322192)"
Traffic Cameras,,I-5 at Holgate Street,http://www.seattle.gov/trafficcams/i5_holgate.htm,-122.32072,47.586386,"(47.586386, -122.32072)"
Traffic Cameras,,I-90 at 18th Avenue South,http://www.seattle.gov/trafficcams/i90_18th.htm,-122.309477,47.589393,"(47.589393, -122.309477)"
Traffic Cameras,,I-90 Midspan,http://www.seattle.gov/trafficcams/i90_midspan.htm,-122.268192,47.590148,"(47.590148, -122.268192)"
Traffic Cameras,,I-5 at Spokane Street,http://www.seattle.gov/trafficcams/i5_spokane.htm,-122.320755,47.571453,"(47.571453, -122.320755)"
Traffic Cameras,,I-5 at Albro Place,http://www.seattle.gov/trafficcams/i5_albro.htm,-122.311985,47.548715,"(47.548715, -122.311985)"
Traffic Cameras,,I-5 at Mid-Boeing Field,http://www.seattle.gov/trafficcams/I5_Boeing.htm,-122.291273,47.52294,"(47.52294, -122.291273)"
Traffic Cameras,,SR-99 at Michigan Street,http://www.seattle.gov/trafficcams/sr99_michigan.htm,-122.333347,47.54554,"(47.54554, -122.333347)"
Traffic Cameras,,SR-99 at West Marginal Way,http://www.seattle.gov/trafficcams/sr99_westmarginal.htm,-122.334664,47.538958,"(47.538958, -122.334664)"
